gisaid_epi_isl,date,segment,originating_lab,submitting_lab,authors,url,date_submitted
EPI_ISL_416510,2020-03-06,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416511,2020-03-07,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416512,2020-03-07,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416513,2020-03-07,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_443265,2020-04-03,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443266,2020-03-16,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443267,2020-03-18,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443268,2020-03-18,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443269,2020-03-21,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443270,2020-03-23,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443271,2020-03-24,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443272,2020-03-24,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443273,2020-03-24,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443274,2020-03-25,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443275,2020-03-27,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443276,2020-03-27,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443277,2020-03-28,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443278,2020-03-29,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443279,2020-04-01,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443280,2020-04-01,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443281,2020-04-03,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443282,2020-03-22,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443283,2020-03-23,genome,CHU - Hopital Cavale Blanche - Labo. de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443289,2020-03-27,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443290,2020-03-31,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443291,2020-04-02,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443292,2020-04-03,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443293,2020-04-03,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443294,2020-04-06,genome,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443313,2020-03-05,genome,Cabinet Medical,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_415651,2020-03-05,genome,Unknown,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-18
EPI_ISL_415652,2020-03-05,genome,unknown,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-18
EPI_ISL_420038,2020-03-17,genome,Sentinelles network,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_443261,2020-04-03,genome,CHU de Dijon - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443262,2020-04-02,genome,CHU de Dijon - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443263,2020-04-02,genome,CHU de Dijon - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443264,2020-04-02,genome,CHU de Dijon - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443307,2020-04-09,genome,La Villa Papyri,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_416757,2020-03-07,genome,Centre Hospitalier de Bourg en Bresse,CNR Virus des Infections Respiratoires - France SUD,Bal et al,https://www.gisaid.org,2020-03-23
EPI_ISL_417340,2020-03-07,genome,Centre Hospitalier de Bourg en Bresse,CNR Virus des Infections Respiratoires - France SUD,Bal et al,https://www.gisaid.org,2020-03-25
EPI_ISL_430846,2020-04-01,genome,"General Intensive Care Unit, Raymond Poincare Hospital (AP-HP), Lab Inflammation & Infection, U1173 University Paris Saclay-UVSQ/INSERM, Garches, France.","Institut Pasteur, Laboratory for Urgent Response to biological Threats",Djillali et al,https://www.gisaid.org,2020-04-28
EPI_ISL_437689,2020-02-27,genome,Laboratory for Urgent Response to Biological Threats,Institut Pasteur CIBU / ERI,V. Caro et al,https://www.gisaid.org,2020-05-11
EPI_ISL_437690,2020-02-29,genome,Laboratory for Urgent Response to Biological Threats,Institut Pasteur CIBU /ERI,V. Caro et al,https://www.gisaid.org,2020-05-11
EPI_ISL_418222,2020-03-04,genome,CHRU Bretonneau - Serv. Bacterio-Virol.,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_421514,2020-03-20,genome,Sentinelles network,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_443312,2020-03-24,genome,Cabinet Medical,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_416752,2020-03-04,genome,CHU Gabriel Montpied,CNR Virus des Infections Respiratoires - France SUD,Bal et al,https://www.gisaid.org,2020-03-23
EPI_ISL_416751,2020-03-05,genome,CHU Gabriel Montpied,CNR Virus des Infections Respiratoires - France SUD,Bal et al,https://www.gisaid.org,2020-03-23
EPI_ISL_414623,2020-02-25,genome,Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hopitaux Universitaires de Strasbourg,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414631,2020-03-04,genome,Hopital Robert Debre Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414632,2020-03-04,genome,Hopital Robert Debre Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_420039,2020-03-12,genome,L'Air du Temps,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420040,2020-03-12,genome,L'Air du Temps,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420045,2020-03-17,genome,Sentinelles network,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420055,2020-03-17,genome,Sentinelles network,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_428348,2020-03-20,genome,Maison de Sante du Val d'Ormois,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_443310,2020-03-20,genome,Centre de sante Filieris,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443308,2020-04-15,genome,Plaisance,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_429968,2020-02-21,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-24
EPI_ISL_418218,2020-02-21,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418220,2020-02-28,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_414626,2020-02-29,genome,unknown,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414627,2020-03-02,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_418221,2020-03-02,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_414629,2020-03-03,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414630,2020-03-03,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414634,2020-03-04,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414635,2020-03-04,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414636,2020-03-04,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414637,2020-03-04,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_414638,2020-03-04,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_415649,2020-03-05,genome,unknown,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-18
EPI_ISL_418223,2020-03-05,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418224,2020-03-08,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_415653,2020-03-08,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-18
EPI_ISL_418225,2020-03-08,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_415654,2020-03-09,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-18
EPI_ISL_416493,2020-03-08,genome,CH Jean de Navarre Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416495,2020-03-10,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416496,2020-03-10,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416497,2020-03-10,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_421500,2020-03-11,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_418226,2020-03-09,genome,EHPAD - Residences les Cedres,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418227,2020-03-12,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418228,2020-03-12,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418231,2020-03-15,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418236,2020-03-16,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418237,2020-03-16,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418238,2020-03-16,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418239,2020-03-16,genome,Centre Hospitalier Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_420041,2020-03-17,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420044,2020-03-18,genome,CH Jean de Navarre Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420049,2020-03-19,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420050,2020-03-19,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420053,2020-03-19,genome,CH Jean de Navarre Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420056,2020-03-22,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420057,2020-03-22,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_421509,2020-03-23,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_421510,2020-03-23,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_421511,2020-03-23,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_428350,2020-03-24,genome,CH Jean de Navarre Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_428353,2020-03-24,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_428358,2020-03-24,genome,CH Jeanne de Navarre Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_443316,2020-03-25,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_443309,2020-03-25,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_428359,2020-03-23,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_428360,2020-03-25,genome,CH Compiegne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_428366,2020-03-30,genome,CH Jeanne de Navarre Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_443315,2020-04-02,genome,Chateau de la Source,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-05-12
EPI_ISL_406596,2020-01-23,genome,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-01-29
EPI_ISL_406597,2020-01-23,genome,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-01-29
EPI_ISL_411219,2020-01-28,genome,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon",Terrier et al,https://www.gisaid.org,2020-02-19
EPI_ISL_408430,2020-01-29,genome,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-02-08
EPI_ISL_408431,2020-01-29,genome,"Sorbonne Universite, Inserm et Assistance Publique-Hopitaux de Paris (Pitie Salpetriere)","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-02-08
EPI_ISL_414633,2020-03-04,genome,Centre Hospitalier Rene Dubois Laboratoire de Microbiologie - Bat A,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-15
EPI_ISL_415650,2020-03-02,genome,Hopital Instruction des Armees - BEGIN,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-18
EPI_ISL_428355,2020-03-11,genome,Institut Medico legal- Hop R. Poincare,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_428356,2020-03-11,genome,Institut Medico legal- Hop R. Poincare,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_428357,2020-03-11,genome,Institut Medico legal- Hop R. Poincare,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-20
EPI_ISL_416498,2020-03-11,genome,Institut Medico legal- Hop R. Poincare,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416499,2020-03-11,genome,LABM GH nord Essonne,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416500,2020-03-11,genome,LABM GH nord Essonne,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_416501,2020-03-10,genome,Hopital franco britannique - Service des Urgences,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-22
EPI_ISL_421501,2020-03-12,genome,Service de Biologie Medicale - BP 125,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_418229,2020-03-12,genome,Hopital franco britannique - Laboratoire,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_421502,2020-03-12,genome,Parc des Dames,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_421503,2020-03-12,genome,Parc des Dames,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_418230,2020-03-13,genome,"Clinique AVERAY LA BROUSTE, Med. Polyvalente","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418232,2020-03-15,genome,Service des Urgences,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418233,2020-03-15,genome,Service des Urgences,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418234,2020-03-14,genome,LABM GH nord Essonne,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_421504,2020-03-14,genome,Service de Biologie Medicale - BP 125,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_421505,2020-03-15,genome,Service de Biologie Medicale - BP 125,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-08
EPI_ISL_418235,2020-03-16,genome,Cabinet medical,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418240,2020-03-16,genome,LABM GH nord Essonne,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_420042,2020-03-17,genome,Service de Biologie clinique,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420043,2020-03-18,genome,CMIP,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_420046,2020-03-17,genome,Residence Villa Caroline,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
